Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
62.84419584,-1.285131,-10.57761,-28.54362,0.9464398,-0.233896,-0.1800317,-29.36502,32.23919,4.976299,1019.855
62.85418558,-1.100643,-9.377394,-28.05446,0.952673,-0.2265584,-0.1741032,-29.36502,32.23919,4.976299,1019.855
62.86417627,-1.777101,-10.03751,-27.38187,0.9462378,-0.225025,-0.1860647,-29.36502,32.23919,4.976299,1019.855
62.87416601,-2.884032,-9.85748,-26.89271,0.9451458,-0.220568,-0.1917237,-29.36502,32.23919,4.976299,1019.855
62.88415623,-2.884032,-9.317384,-26.46469,0.9444835,-0.2150425,-0.2036205,-30.07746,30.36825,4.981676,1019.856
62.89414597,-2.207574,-7.757105,-25.48637,0.948871,-0.2117042,-0.1929653,-30.07746,30.36825,4.981676,1019.856
62.9041357,-2.699543,-6.796934,-24.63034,0.944581,-0.2147833,-0.1867539,-30.07746,30.36825,4.981676,1019.856
62.91412544,-4.667422,-6.916955,-24.63034,0.9381431,-0.2123064,-0.1962825,-30.07746,30.36825,4.981676,1019.856
62.92411566,-6.14333,-7.217009,-24.14118,0.9387991,-0.2192243,-0.1897205,-30.07746,30.36825,4.981676,1019.857
62.9341054,-6.819788,-6.616902,-23.59088,0.9353122,-0.2116092,-0.1789037,-30.81619,29.98832,5.376423,1019.857
62.94409514,-7.803727,-7.937137,-22.85714,0.9324967,-0.1958297,-0.1929312,-30.81619,29.98832,5.376423,1019.857
62.95408487,-7.557743,-7.697094,-23.04057,0.9460829,-0.1959835,-0.202659,-30.81619,29.98832,5.376423,1019.857
62.96407557,-5.528368,-7.577073,-22.85714,0.9539952,-0.1942484,-0.1780981,-30.81619,29.98832,5.376423,1019.853
62.9740653,-4.421437,-7.156998,-22.6737,0.9365557,-0.2045576,-0.1931824,-30.81619,29.98832,5.376423,1019.853
62.98405552,-5.282383,-8.057158,-22.55141,0.9429532,-0.183395,-0.1979791,-31.54249,29.23491,6.608814,1019.853
62.99404526,-3.806475,-8.117169,-22.91828,0.956423,-0.1734555,-0.1958849,-31.54249,29.23491,6.608814,1019.853
63.004035,-2.76104,-7.457052,-22.55141,0.962566,-0.1607682,-0.1883729,-31.54249,29.23491,6.608814,1019.856
63.01402474,-2.699543,-7.217009,-21.38966,0.9639888,-0.155508,-0.1786124,-31.54249,29.23491,6.608814,1019.856
63.02401495,-3.376002,-7.156998,-20.04447,0.9716911,-0.1260192,-0.1836852,-31.54249,29.23491,6.608814,1019.856
63.03400469,-5.159391,-6.556891,-19.55531,0.9691057,-0.1158902,-0.1771452,-31.89269,28.11271,6.998085,1019.856
